;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;3;3;;Dividieren von Brüchen (6 Aufgaben);;;;;;;;;;;;;
;3;3;1;;1;;;1;;;;;;;;;1
;3;3;2;;1;;;1;;;;;;;;1;
;3;3;3;;1;-10;;1;;;;;;;;1;
;3;3;4;;;;;1;;;;;1;;;;
;3;3;5;;1;;;1;;;;;;1;;;
;3;3;6;;;;;1;;;;;;;;1;
;3;3;7;;;;;1;;;;1;1;;;;
;3;3;8;;1;-10;;1;;;;;;1;;;1
;3;3;9;;1;;1;;;;;;;;;1;1
;3;3;10;;1;;1;;;;;;;;;1;
;3;3;11;;1;;;;1;;;;;;1;;
;3;3;12;;1;;;;1;;;;1;;;1;
;3;3;13;;;-10;;;1;;;;1;;;;1
;3;3;14;;;-10;;;1;;;;1;;1;;
;3;3;15;;1;;;;1;;;;1;;;;1
;3;3;16;;;;;;1;;;;1;;1;;
;3;3;17;;;;;;1;;;;1;;;;
;3;3;18;;1;;;;1;;;;1;;;;
;3;3;19;;1;;;;1;;;;1;1;;;
;3;3;20;;;;;;1;;;;;1;;;
;3;3;21;;1;;1;;;;;;1;;;1;
;3;3;22;;1;;1;;;;;;1;;;;
;3;3;23;;1;;1;;;;;1;1;;;;
;3;3;24;;;;;;;1;;;;1;;;
;3;3;25;;;;;;;;1;1;;;1;;
;3;3;26;;;;;;;;1;;;;;;
;3;4;;Dezimalbrüche und Zehnerpotzen (3 Aufgaben);;;;;;;;;;;;;
;3;4;1;;1;;;1;;;;;;;;1;
;3;4;2;;1;;;1;;;;;1;;;;
;3;4;3;;;;;1;;;;;;;1;;
;3;4;4;;1;;1;;;;;;1;;1;;
;3;4;5;;1;;1;;;;;;;;;;1
;3;4;6;;1;;;;1;;;;1;;;;1
;3;4;7;;;;;;1;;;;1;;;;1
;3;4;8;;1;;;;1;;;;1;;1;;
;3;4;9;;1;;;;1;;;;;1;;1;
;3;4;10;;;;;;1;;;;;1;;;
;3;4;11;;1;;1;;;;;;1;;;;
;3;4;12;;1;;1;;;;;;1;;1;;
